"Date","Added","Deleted","Net","CumAdded","CumDeleted","CumNet"
"2025-07-01","122","63","59","122","63","59"
"2025-07-02","165","103","62","287","166","121"
"2025-07-03","58","23","35","345","189","156"
"2025-07-04","3","3","0","348","192","156"
"2025-07-07","155","66","89","503","258","245"
"2025-07-09","257","32","225","760","290","470"
"2025-07-11","4","1","3","764","291","473"
"2025-07-14","1","1","0","765","292","473"
"2025-07-16","1","1","0","766","293","473"
"2025-07-24","23884","11677","12207","24650","11970","12680"
"2025-07-25","7","9","-2","24657","11979","12678"
"2025-07-28","6162","314","5848","30819","12293","18526"
"2025-07-29","14","6","8","30833","12299","18534"
"2025-07-30","1089","87","1002","31922","12386","19536"
"2025-07-31","1697","506","1191","33619","12892","20727"
"2025-08-01","92","58","34","33711","12950","20761"
"2025-08-04","2907","0","2907","36618","12950","23668"
"2025-08-05","439","225","214","37057","13175","23882"
"2025-08-06","20","11","9","37077","13186","23891"
"2025-08-07","744","156","588","37821","13342","24479"
"2025-08-08","604","202","402","38425","13544","24881"
"2025-08-12","1394","790","604","39819","14334","25485"
"2025-08-13","2107","91","2016","41926","14425","27501"
"2025-08-14","90","6","84","42016","14431","27585"
"2025-08-18","383","132","251","42399","14563","27836"
"2025-08-19","1362","57","1305","43761","14620","29141"
"2025-08-20","537","228","309","44298","14848","29450"
"2025-08-21","703","62","641","45001","14910","30091"
"2025-08-22","1044","180","864","46045","15090","30955"
"2025-08-25","264","20","244","46309","15110","31199"
"2025-08-26","548","125","423","46857","15235","31622"
"2025-08-27","2577","524","2053","49434","15759","33675"
"2025-08-28","134","97","37","49568","15856","33712"
"2025-09-01","53","4","49","49621","15860","33761"
"2025-09-02","80","19","61","49701","15879","33822"
"2025-09-03","323","86","237","50024","15965","34059"
"2025-09-04","140","67","73","50164","16032","34132"
"2025-09-05","77","112","-35","50241","16144","34097"
"2025-09-08","63","5","58","50304","16149","34155"
"2025-09-09","2917","2839","78","53221","18988","34233"
"2025-09-10","2744","38","2706","55965","19026","36939"
"2025-09-11","1","0","1","55966","19026","36940"
"2025-09-12","126","38","88","56092","19064","37028"
"2025-09-15","81","53","28","56173","19117","37056"
"2025-09-16","154","27","127","56327","19144","37183"
"2025-09-17","298","126","172","56625","19270","37355"
"2025-09-19","448","30","418","57073","19300","37773"
"2025-09-22","216","27","189","57289","19327","37962"
"2025-09-23","312","222","90","57601","19549","38052"
"2025-09-24","164","72","92","57765","19621","38144"
"2025-09-25","164","46","118","57929","19667","38262"
"2025-09-26","92","22","70","58021","19689","38332"
"2025-09-29","142","7","135","58163","19696","38467"
