"Topic","Added","Deleted","Net","Changes","ShareChangesPc","ShareAddedPc","ShareNetPc","FilesChanged","CommitsTouched"
"bfw/hr","10278","1252","9026","11530","14,8","17,66","23,46","195","54"
"common/stubs","9363","1759","7604","11122","14,28","16,09","19,76","60","20"
"spa/src","6745","816","5929","7561","9,71","11,59","15,41","224","39"
"bfw/spa","5264","211","5053","5475","7,03","9,05","13,13","78","23"
"BUAK","3039","878","2161","3917","5,03","5,22","5,62","76","16"
"mBGM","2405","509","1896","2914","3,74","4,13","4,93","50","5"
"bfw/rw","1346","0","1346","1346","1,73","2,31","3,5","10","1"
"Budget","1421","126","1295","1547","1,99","2,44","3,37","41","15"
"common/rs2","1795","731","1064","2526","3,24","3,09","2,77","39","15"
"ELDA","13214","12466","748","25680","32,97","22,71","1,94","108","31"
"ppj/module","828","248","580","1076","1,38","1,42","1,51","24","7"
"Payroll","942","369","573","1311","1,68","1,62","1,49","25","18"
"common/message","456","54","402","510","0,65","0,78","1,04","17","15"
"L16","225","67","158","292","0,37","0,39","0,41","11","6"
"bfw/et","152","2","150","154","0,2","0,26","0,39","9","4"
"common/tools","184","38","146","222","0,29","0,32","0,38","10","4"
"bfw/iv","243","107","136","350","0,45","0,42","0,35","3","1"
"ppj/fwg","170","59","111","229","0,29","0,29","0,29","7","3"
"bfw/api","82","2","80","84","0,11","0,14","0,21","2","1"
"spa/hrmob","22","0","22","22","0,03","0,04","0,06","2","1"
"ppj/rewe","7","2","5","9","0,01","0,01","0,01","2","1"
"EDUHR","3","2","1","5","0,01","0,01","0","1","1"
"ppj/intapi","0","6","-6","6","0,01","0","-0,02","1","1"
